Category,Subcategory,Designer,Name,Price
Clothing,Jackets,Stone Island,Compass Cotton-Blend Blouson,629.1715530839163
Clothing,Jackets,Auralee,Denim Jacket,467.3788063811003
Clothing,Jackets,Moncler,Medassa Raincoat,930.1405088838135
Clothing,Jackets,Loro Piana,Kora Cotton Jacket,2579.2600579663876
Clothing,Jackets,Our Legacy,Flight Hooded Cotton Jersey Jacket,560.4019285746018
Clothing,Jackets,Notsonormal,Dad Cotton Canvas Jacket,430.3683796456909
Clothing,Jackets,Notsonormal,Denim Jacket,428.56201283238
Clothing,Jackets,Moncler,Technical Jacket,1056.910656899204
Clothing,Jackets,Notsonormal,Dad Blouson Jacket,401.5338056448031
Clothing,Jackets,Notsonormal,Denim Jacket,402.5622535019796
Clothing,Jackets,Saint Laurent,Bomber Jacket,2317.2969943728026
Clothing,Jackets,Loewe,Leather Bomber Jacket,4586.553655179894
Clothing,Jackets,Acne Studios,Leather Jacket,1381.6526703059092
Clothing,Jackets,Balenciaga,3B Sports Icon Track Jacket,2408.1670471338152
Clothing,Jackets,Moncler,Meidassa Blouson Jacket,749.57202375437
Clothing,Jackets,Loro Piana,Traveller Suede Jacket,6961.050238808372
Clothing,Jackets,Balenciaga,Logo Leather Jacket,11842.353348892917
Clothing,Jackets,Gucci,Printed Bomber Jacket,2548.6330900801604
Clothing,Jackets,Gucci,Gg Linen-Blend Canvas Jacket,2463.6807546279733
Clothing,Jackets,The North Face,X Undercover Trail Run 12L Running Vest,184.8299521350156
Clothing,Jackets,Burberry,Leather Jacket,3868.744344633881
Clothing,Jackets,Junya Watanabe,Embroidered Denim Jacket,1379.804280908043
Clothing,Jackets,Brunello Cucinelli,Suede Jacket,6165.8588365130545
Clothing,Jackets,Brunello Cucinelli,Linen And Cotton Overshirt,2056.170991242233
Clothing,Jackets,The Row,Carsten Corduroy Jacket,2433.9827304940163
Clothing,Jackets,Brunello Cucinelli,Striped Wool Blend Blouson Jacket,2955.8331680419715
Clothing,Jackets,Comme Des Garçons Homme,Cotton And Linen Jacket,902.828583262877
Clothing,Jackets,Comme Des Garçons Homme,Checked Ramie-Blend Technical Gilet,537.5258066565091
Clothing,Jackets,King & Tuckfield,Striped Cotton Jacket,459.894394803048
Clothing,Jackets,Drkshdw By Rick Owens,Sphinx Jumbo Dyed Denim Jacket,1805.9250290502143
Clothing,Jackets,The North Face,X Undercover Technical Jacket,374.55797493629115
Clothing,Jackets,The North Face,X Undercover Logo Jacket,227.93224643115772
Clothing,Jackets,Stone Island,Marina Striped Cotton Overshirt,365.3915011355769
Clothing,Jackets,Ami Paris,Cotton-Blend Blouson Jacket,458.12979670042074
Clothing,Jackets,Satisfy,Pertex 3L Fly Raincoat,384.0870155587956
Clothing,Jackets,Stone Island,Marina Linen Jacket,777.6211040794024
Clothing,Jackets,King & Tuckfield,Denim Jacket,487.54439455285535
